ENTRY_TIME,EXIT_TIME,VEHICLE_ID,GATE_NO
2024-05-30 15:19:28,2024-05-30 16:09:18,OD05BF9274,1
2024-05-30 15:17:03,2024-05-30 18:21:29,OD21M7848,1
2024-05-30 15:15:49,2024-05-30 18:45:44,OD05BT5159,1
2024-05-30 15:15:36,2024-05-30 14:32:54,OD05BB2247,1
2024-05-30 15:08:56,NULL,OD21B9579,1
2024-05-30 15:07:25,NULL,OD02L3022,1
2024-05-30 15:04:23,NULL,OD05AC8299,1
2024-05-30 14:59:26,2024-05-30 17:11:47,OD05AR1279,1
2024-05-30 14:59:23,2024-05-30 23:23:29,OD02BW7316,1
2024-05-30 14:56:24,2024-05-30 17:02:33,24BH0685C,1
2024-05-30 14:50:59,2024-05-30 12:11:10,WB11E1694,1
2024-05-30 14:48:34,2024-05-30 15:05:36,23BH5466J,1
2024-05-30 14:48:12,NULL,D05AY8464,1
2024-05-30 14:45:21,NULL,UA33P9695,1
2024-05-30 14:43:41,NULL,OD34H8910,1
2024-05-30 14:43:19,2024-05-30 15:25:59,OD02CP1908,1
2024-05-30 14:40:49,2024-05-30 14:48:45,OD35B6302,1
2024-05-30 14:38:53,NULL,OD05AU7578,1
2024-05-30 14:37:46,NULL,M21BH7834A,1
2024-05-30 14:36:14,NULL,OD02B0923,1
2024-05-30 14:33:46,2024-05-30 13:36:39,DL12CR0710,1
2024-05-30 14:32:45,2024-05-30 17:03:10,OD02BR9127,1
2024-05-30 14:32:26,NULL,90D02BD8439,1
2024-05-30 14:32:06,NULL,OD02BH738H,1
2024-05-30 14:31:55,2024-05-30 17:28:42,GJ06PB1279,1
2024-05-30 14:31:20,2024-05-30 12:42:22,HR06AB3565,1
2024-05-30 14:31:18,2024-05-30 19:39:27,22BH7342D,1
2024-05-30 14:29:09,NULL,OD10404707,1
2024-05-30 14:28:16,NULL,OD02F8673,1
2024-05-30 14:28:06,2024-05-30 15:47:13,UP78EN2539,1
2024-05-30 14:25:30,NULL,O005L6373,1
2024-05-30 14:23:13,2024-05-30 18:22:31,OD02BH7374,1
2024-05-30 14:22:33,NULL,228H8316C,1
2024-05-30 14:22:27,NULL,UP16CN8209,1
2024-05-30 14:22:17,2024-05-30 19:13:10,GJ06JE7627,1
2024-05-30 14:22:00,NULL,KA06H1046,1
2024-05-30 14:20:04,2024-05-30 17:10:25,WB30X9770,1
2024-05-30 14:19:45,2024-05-30 17:22:18,AP28DG3116,1
2024-05-30 14:19:29,2024-05-30 17:57:34,WB06H0473,1
2024-05-30 14:18:13,2024-05-30 18:32:44,24BH2537D,1
2024-05-30 14:15:43,2024-05-30 18:21:38,23BH5726A,1
2024-05-30 14:13:48,2024-05-30 18:34:09,OD01P6969,1
2024-05-30 14:12:19,2024-05-30 13:16:59,GJ6DB8428,1
2024-05-30 14:11:36,2024-05-30 11:49:07,OD30E3018,1
2024-05-30 14:10:06,2024-05-30 06:23:15,RJ02CA3638,1
2024-05-30 14:09:40,NULL,96680D02N2,1
2024-05-30 14:09:16,2024-05-30 22:09:55,OD02AJ4863,1
2024-05-30 14:08:48,2024-05-30 22:16:26,23BH6286B,1
2024-05-30 14:08:20,NULL,OD21F6431,1
2024-05-30 14:06:33,2024-05-30 22:25:04,HR06AV3315,1
2024-05-30 14:06:29,NULL,HR06AD6946,1
2024-05-30 14:06:27,2024-05-30 13:59:09,OD02CC4865,1
2024-05-30 14:06:12,NULL,OD05AH0858,1
2024-05-30 14:06:07,2024-05-30 19:38:51,WB30X2610,1
2024-05-30 14:05:54,NULL,HR06AN2266,1
2024-05-30 14:05:38,2024-05-30 06:44:11,WB30AD6684,1
2024-05-30 14:04:57,2024-05-30 22:40:52,WB30X7993,1
2024-05-30 14:04:12,2024-05-30 19:11:58,OD33G4530,1
2024-05-30 14:04:09,2024-05-30 22:14:59,OD02BG0309,1
2024-05-30 14:03:26,2024-05-30 13:10:16,22BH4186A,1
2024-05-30 14:03:24,2024-05-30 22:27:33,22BH7736D,1
2024-05-30 14:03:12,2024-05-30 22:29:26,OD02BE4593,1
2024-05-30 14:02:40,2024-05-30 22:18:46,23BH6032E,1
2024-05-30 14:02:34,2024-05-30 22:27:43,23BH2696E,1
2024-05-30 14:01:51,2024-05-30 22:15:26,TN18AU8421,1
2024-05-30 14:01:46,NULL,WB30S9187,1
2024-05-30 14:01:29,2024-05-30 22:02:44,OD05AR3983,1
2024-05-30 14:01:12,NULL,HR06AM9768,1
2024-05-30 14:01:10,NULL,JH30AD6561,1
2024-05-30 14:01:05,2024-05-30 06:18:00,OD33N7021,1
2024-05-30 14:00:35,2024-05-30 22:06:03,23BH4937J,1
2024-05-30 14:00:28,2024-05-30 11:22:22,OD29J2347,1
2024-05-30 14:00:17,2024-05-30 22:30:39,OD05BA7508,1
2024-05-30 14:00:06,NULL,UP85BL6130,1
2024-05-30 13:59:52,NULL,JH6HD7427,1
2024-05-30 13:59:45,2024-05-30 22:14:13,OD02BW3226,1
2024-05-30 13:59:38,2024-05-30 06:29:04,OD02X8526,1
2024-05-30 13:59:24,2024-05-30 22:29:12,OD21J3919,1
2024-05-30 13:59:17,NULL,4360D21P5U,1
2024-05-30 13:58:42,2024-05-30 23:06:27,OD05A04898,1
2024-05-30 13:58:19,2024-05-30 22:04:48,OD05AK1569,1
2024-05-30 13:58:16,2024-05-30 22:20:48,OD05AF6562,1
2024-05-30 13:58:11,2024-05-30 06:27:48,OD02BT7066,1
2024-05-30 13:58:08,NULL,O0HR06E0507,1
2024-05-30 13:58:08,NULL,T0HR00037,1
2024-05-30 13:58:07,NULL,O0HB03007,1
2024-05-30 13:58:05,2024-05-30 22:19:09,OD02BA1552,1
2024-05-30 13:57:50,2024-05-30 06:09:11,OD05A09265,1
2024-05-30 13:57:41,2024-05-30 22:05:27,OD02AP2721,1
2024-05-30 13:57:31,NULL,OD05AE9643,1
2024-05-30 13:57:25,2024-05-30 18:26:43,HR06AK7634,1
2024-05-30 13:57:20,2024-05-30 23:16:20,24BH1587C,1
2024-05-30 13:57:03,2024-05-30 13:14:43,OD05BJ9292,1
2024-05-30 13:56:35,2024-05-30 22:10:16,OD02BT6230,1
2024-05-30 13:56:16,2024-05-30 06:08:38,OD33G6613,1
2024-05-30 13:56:07,2024-05-30 22:21:06,OD02AX9891,1
2024-05-30 13:55:48,NULL,HR06Z4939,1
2024-05-30 13:55:34,2024-05-30 22:12:11,OD02BL6482,1
2024-05-30 13:54:15,NULL,OR02AJ7385,1
2024-05-30 13:54:11,NULL,OD0571474,1
2024-05-30 13:53:34,2024-05-30 22:06:34,HR06AA9975,1
2024-05-30 13:52:42,NULL,O0028M5139,1
2024-05-30 13:51:55,NULL,OD05A0605,1
2024-05-30 13:51:52,2024-05-30 22:19:56,GJ06PA1895,1
2024-05-30 13:51:50,NULL,DL3CBD7165,1
2024-05-30 13:51:47,NULL,AS01AY4742,1
2024-05-30 13:51:43,2024-05-30 22:13:35,HR06BA4997,1
2024-05-30 13:51:08,NULL,M23BH9168G,1
2024-05-30 13:48:48,NULL,OD02B3906,1
2024-05-30 13:48:16,2024-05-30 13:35:14,OD02AM5488,1
2024-05-30 13:48:05,NULL,OD02BR3756,1
2024-05-30 13:47:28,2024-05-30 22:06:27,22BH1231F,1
2024-05-30 13:45:31,NULL,OR02BR3196,1
2024-05-30 13:41:35,2024-05-30 22:31:15,OD05AR8373,1
2024-05-30 13:40:02,NULL,OD0D05AQ44,1
2024-05-30 13:39:18,NULL,OD01AG8798,1
2024-05-30 13:38:22,NULL,OR905AL1142,1
2024-05-30 13:35:25,NULL,OD05AR1287,1
2024-05-30 13:32:44,NULL,OD05AR135A,1
2024-05-30 13:32:38,2024-05-30 11:21:22,OD21K1953,1
2024-05-30 13:32:36,NULL,OD21K7953,1
